T_GeV,T_MeV,a_internal,a_physical,z,H_RTK_over_c_Mpc_inv,H_sameparams_LCDM_over_c_Mpc_inv,R_H
1.3292598100715482e-06,0.0013292598100715481,1.8898090816596868e-07,1.7551246251362702e-07,5713212.725858309,70308659.48202212,70308659.38036713,1.000000001445731
1.3710962402298965e-06,0.0013710962402298966,1.8326489788455905e-07,1.702714683176004e-07,5892248.070457163,74760887.70343186,74760887.59789355,1.0000000014119879
1.4142525456472128e-06,0.0014142525456472127,1.7772718065125362e-07,1.6519667729590036e-07,6076894.464889394,79492139.77776614,79492139.6683375,1.0000000013768915
1.4587718510535005e-06,0.0014587718510535005,1.7236329881857784e-07,1.602831183076508e-07,6267324.963231551,84519292.87431826,84519292.76107962,1.00000000133973
1.5046989943352988e-06,0.0015046989943352988,1.6716899751436616e-07,1.5552599991789598e-07,6463713.139226238,89860242.74118155,89860242.62374766,1.0000000013068702
1.5520806300575337e-06,0.0015520806300575338,1.6214022060890933e-07,1.5092070630399987e-07,6666241.872897369,95534076.58674978,95534076.46518956,1.0000000012724135
1.600965336270283e-06,0.001600965336270283,1.572731061255331e-07,1.4646279343497313e-07,6875103.987759807,101562041.51401587,101562041.38798876,1.0000000012408683
1.651403724614789e-06,0.0016514037246147889,1.525639821456232e-07,1.4214798555759617e-07,7090492.68740876,107966210.2552394,107966210.12458411,1.0000000012101409
1.7034485658040231e-06,0.001703448565804023,1.4800936266070602e-07,1.3797217181307603e-07,7312611.791353786,114769390.0234527,114769389.88746428,1.0000000011848869
1.7571549194278212e-06,0.0017571549194278212,1.436059436177596e-07,1.339313990256693e-07,7541675.287361265,121995190.82582305,121995190.68444303,1.0000000011599046
1.8125802681457543e-06,0.0018125802681457543,1.393505993028969e-07,1.300218662630982e-07,7777907.136516294,129669064.81148633,129669064.66428772,1.0000000011351853
1.8697846593368579e-06,0.001869784659336858,1.3524037886339708e-07,1.2623991891824312e-07,8021539.396855505,137818348.9040593,137818348.75053985,1.0000000011136416
1.928830852293793e-06,0.001928830852293793,1.3127247684854462e-07,1.2258204461182333e-07,8272804.70779466,146472309.993875,146472309.8336733,1.0000000010933974
1.989784471024639e-06,0.001989784471024639,1.274442541273394e-07,1.1904486846769688e-07,8531945.8349552,155662192.07788953,155662191.91070274,1.000000001073897
2.0527131747225197e-06,0.0020527131747225196,1.2375322465622058e-07,1.1562514985228154e-07,8799215.299764467,165421264.12759084,165421263.95240057,1.0000000010590435
2.1176878260978288e-06,0.0021176878260978286,1.2019703776501603e-07,1.1231977932306486e-07,9074866.00590917,175784886.66531742,175784886.481459,1.000000001046
